event,total_clicks,buzz_calls,buzz_rate,Exposure_3k,Exposure_500m,first_time,last_time
1,205,10,0.048780488,0,0,2018-10-08 02:33:00,2018-10-08 02:51:00
2,257,56,0.217898833,0,0,2018-10-08 03:07:00,2018-10-08 03:33:00
3,754,240,0.318302387,0,0,2018-10-08 03:44:00,2018-10-08 04:09:00
4,104,8,0.076923077,0,0,2018-10-08 04:35:00,2018-10-08 04:39:00
5,268,8,0.029850746,0,0,2018-10-08 04:50:00,2018-10-08 05:24:00
6,395,10,0.025316456,0,0,2018-10-08 09:20:00,2018-10-08 10:06:00
7,382,26,0.068062827,0,0,2018-10-08 11:07:00,2018-10-08 11:40:00
8,26,7,0.269230769,0,0,2018-10-08 12:05:00,2018-10-08 12:40:00
9,445,77,0.173033708,0,0,2018-10-08 15:23:00,2018-10-08 16:19:00
10,61,8,0.131147541,0,0,2018-10-08 17:49:00,2018-10-08 18:19:00
11,363,11,0.03030303,0,0,2018-10-08 19:32:00,2018-10-08 20:53:00
12,2464,441,0.178977273,0,0,2018-10-08 21:25:00,2018-10-09 01:36:00
13,1221,413,0.338247338,0,0,2018-10-09 03:14:00,2018-10-09 04:50:00
14,195,21,0.107692308,0,0,2018-10-09 07:13:00,2018-10-09 08:04:00
15,201,8,0.039800995,0,0,2018-10-09 15:31:00,2018-10-09 16:00:00
16,1344,69,0.051339286,0,0,2018-10-09 16:53:00,2018-10-09 18:55:00
17,2400,1210,0.504166667,0,0,2018-10-09 19:08:00,2018-10-09 19:18:00
18,2120,661,0.311792453,1,1,2018-10-09 19:42:00,2018-10-10 00:10:00
19,915,478,0.522404372,0,0,2018-10-10 00:24:00,2018-10-10 00:54:00
20,839,91,0.108462455,0,0,2018-10-10 01:06:00,2018-10-10 02:02:00
21,1342,377,0.280923994,0,0,2018-10-10 03:38:00,2018-10-10 04:32:00
22,371,20,0.053908356,0,0,2018-10-10 04:57:00,2018-10-10 05:33:00
23,349,123,0.35243553,0,0,2018-10-10 19:57:00,2018-10-10 20:13:00
24,1183,97,0.081994928,0,0,2018-10-10 20:34:00,2018-10-10 23:19:00
25,147,38,0.258503401,0,0,2018-10-11 00:24:00,2018-10-11 00:34:00
26,1217,196,0.161051767,0,0,2018-10-11 00:46:00,2018-10-11 01:55:00
27,2252,961,0.426731794,0,0,2018-10-11 02:12:00,2018-10-11 03:30:00
28,179,11,0.061452514,0,0,2018-10-11 04:22:00,2018-10-11 04:40:00
29,1168,690,0.590753425,1,0,2018-10-11 17:45:00,2018-10-11 17:56:00
30,311,14,0.045016077,1,0,2018-10-11 18:07:00,2018-10-11 18:20:00
31,82,13,0.158536585,0,0,2018-10-11 18:49:00,2018-10-11 18:52:00
32,257,13,0.050583658,1,0,2018-10-11 19:09:00,2018-10-11 19:38:00
33,109,10,0.091743119,1,0,2018-10-11 19:55:00,2018-10-11 20:05:00
34,371,110,0.296495957,1,1,2018-10-11 20:22:00,2018-10-11 20:52:00
35,1350,185,0.137037037,0,0,2018-10-11 21:48:00,2018-10-11 23:44:00
36,181,9,0.049723757,0,0,2018-10-11 23:54:00,2018-10-12 00:10:00
37,379,15,0.039577836,0,0,2018-10-12 00:26:00,2018-10-12 01:02:00
38,1071,211,0.197012138,1,1,2018-10-12 01:17:00,2018-10-12 02:00:00
39,530,124,0.233962264,0,0,2018-10-12 02:11:00,2018-10-12 03:23:00
40,632,159,0.251582278,1,0,2018-10-12 10:53:00,2018-10-12 11:14:00
41,1397,280,0.200429492,0,0,2018-10-12 13:56:00,2018-10-12 14:03:00
42,154,7,0.045454545,0,0,2018-10-12 17:03:00,2018-10-12 17:26:00
43,1528,122,0.079842932,1,1,2018-10-12 17:45:00,2018-10-12 19:46:00
44,1253,438,0.349561053,1,0,2018-10-12 20:01:00,2018-10-12 20:47:00
45,639,155,0.24256651,0,0,2018-10-12 20:59:00,2018-10-12 21:18:00
46,634,250,0.394321767,0,0,2018-10-12 21:35:00,2018-10-12 21:46:00
47,1043,330,0.316395014,1,1,2018-10-12 22:53:00,2018-10-13 00:16:00
48,112,22,0.196428571,0,0,2018-10-13 00:34:00,2018-10-13 00:46:00
49,376,90,0.239361702,0,0,2018-10-13 00:58:00,2018-10-13 01:26:00
50,1428,103,0.072128852,0,0,2018-10-13 01:51:00,2018-10-13 03:23:00
51,358,22,0.061452514,0,0,2018-10-13 03:45:00,2018-10-13 04:13:00
52,130,16,0.123076923,0,0,2018-10-13 04:24:00,2018-10-13 04:58:00
53,155,62,0.4,1,1,2018-10-13 07:08:00,2018-10-13 07:36:00
54,883,46,0.05209513,1,1,2018-10-13 10:27:00,2018-10-13 11:01:00
55,131,12,0.091603053,1,0,2018-10-13 13:13:00,2018-10-13 13:23:00
56,592,85,0.143581081,0,0,2018-10-13 15:12:00,2018-10-13 15:40:00
57,431,261,0.605568445,0,0,2018-10-13 18:51:00,2018-10-13 18:57:00
58,6820,1287,0.188709677,1,1,2018-10-13 19:14:00,2018-10-13 20:43:00
59,16603,6801,0.409624767,1,1,2018-10-13 20:54:00,2018-10-14 01:25:00
60,702,203,0.289173789,1,1,2018-10-14 03:28:00,2018-10-14 04:46:00
61,228,30,0.131578947,1,1,2018-10-14 12:00:00,2018-10-14 12:25:00
62,218,30,0.137614679,1,1,2018-10-14 13:36:00,2018-10-14 13:47:00
