mmsiNumber,Vessel_Name,Vessel_Type,Vessel_Category
220432000,DNK NAVY PATROL P521,Military Ops,MILITARY
257081000,FROYA,CO2 Tanker ,TANKER
219000417,MARIE MILJOE,Military Ops,MILITARY
219022188,SVITZER MADEIRA,,TUG
220590000,MAERSK TENDER,Offshore Tug/Supply Ship,OTHER
356917000,PACIFIC SOPHIA,Bulk Carrier,CARGO
219000961,DANPILOT CANOPUSÊ,PILOT,PILOT
219011922,SCANDINAVIA,Oil Tanker,TANKER
219021244,SVITZER MALTBY,Tug,TUG
538002543,KAPONTE,Chemical/Oil Tanker,TANKER
219927000,ARK FUTURA,Cargo,CARGO
305486000,KRISTIN,Cargo,CARGO
219000193,MHV 812 HERCULES,Military Ops,MILITARY
219013395,LONE STEIN,Fishing,FISHING
211191120,JANILA,Pleasure Craft ,PLEASURE
266476000,NEPTUNUS,Chemical/Oil Tanker,TANKER
219021128,NUET,Pleasure Craft ,PLEASURE
563029400,NA,,UNKNOWN
219158000,SLEIPNER,Military Ops,MILITARY
538002019,DANAVIK ,cement carrier,CARGO
219699000,ASSISTER,Offshore Tug/Supply Ship,OTHER
311045200,N/A ,,UNKNOWN
311000588,FJORDVIC,CARGO,CARGO
219850000,JOULIUS,Tug,TUG
219001284,CAROLINE S,Cargo,CARGO
304010366,MISTRAL,Cargo,CARGO
375354000,SCANLARK,Cargo,CARGO
219014011,BEAM,Other,OTHER
220447000,SUSANNE THERESA,Chemical/Oil Tanker,TANKER
219007225,DANPILOT SPICA,Pilot,PILOT
219019933,BORA,Offshore Tug/Supply Ship,OTHER
219019954,HAV-BB,Pleasure Craft ,PLEASURE
305662000,FEED FISKAA,Cargo,CARGO
209072000,EMMA,Cargo,CARGO
304768000,CUP,Crude Oil Tanker,TANKER
219000179,MHV 909 SPEDITOEREN,Military Ops,MILITARY
219593000,JENS SOERENSEN,Buoy layer,OTHER
219022841,N/A ,,UNKNOWN
245610000,THUN GEMINI,Chemical/Oil Tanker,TANKER
257605650,SALACIA,Pleasure Craft ,PLEASURE
219019597,N/A ,Sailing Vessel,PLEASURE
220439000,N/A ,,CARGO
219000184,MHV 804 ANDROMEDA,Military Ops,MILITARY
219019029,MHG 013,SAR,OTHER
219000549,MHV 814 BUDSTIKKEN,Military Ops,MILITARY
219014327,MAKRELLEN,Pleasure Craft ,PLEASURE
219635000,HAVOERNEN,Fishing,FISHING
219021977,NANNA,Pleasure Craft ,PLEASURE
219023761,CASSIOPEIA,Pleasure Craft ,PLEASURE
232012262,N/A ,,UNKNOWN
219022016,WACKER,Pleasure Craft ,PLEASURE
220436000,DNK NAVY PATROL P525,Military Ops,MILITARY
211339080,SAFINA,Pleasure Craft ,PLEASURE
249934000,HAGLAND BOSS,Cargo,CARGO
219022540,JACC,Pleasure Craft ,PLEASURE
219017286,PACE,Pleasure Craft ,PLEASURE
219013607,DESTINE,Pleasure Craft ,PLEASURE
219018466,BLUE SKY,Pleasure Craft ,PLEASURE
219021019,GITTE BAY II,Pleasure Craft ,PLEASURE
